state_abbr,latitude,longitude,enrollment
AL,34.772590,-86.642047,447
AL,34.643931,-86.548486,472
AL,34.673411,-86.568672,379
AL,34.754963,-86.578303,366
AL,34.751596,-86.558816,315
AL,34.712023,-86.634900,532
AL,34.625624,-86.547243,366
AL,34.673411,-86.568672,535
AL,34.723365,-86.699215,916
AL,34.611655,-86.547684,491
AL,34.611655,-86.547684,425
AL,34.629327,-86.726893,484
AL,34.662478,-86.478307,785
AL,34.629327,-86.726893,659
AL,34.760972,-86.696350,1152
AL,34.625680,-86.491223,935
AL,34.786674,-86.614834,390
AL,34.785643,-86.614721,858
AL,34.733018,-86.607676,578
AL,34.759865,-86.636390,270
AL,34.712023,-86.634900,397
AL,34.770301,-86.608430,194
AL,34.723632,-86.567116,338
AL,34.940053,-85.720582,224
AL,34.943935,-85.714618,144
AL,34.938738,-85.627181,103
AL,34.608387,-85.917193,201
AL,34.769207,-85.694735,80
AL,34.722353,-85.969023,184
AL,34.848784,-85.624029,694
AL,34.700588,-85.763812,173
AL,34.581721,-85.979924,503
AL,34.815029,-86.125013,586
AL,34.623114,-86.272267,504
AL,34.681900,-85.844100,598
AL,34.876993,-85.817147,360
AL,34.863068,-85.834374,235
AL,34.516953,-86.000853,138
AL,34.899385,-85.790145,432
AL,33.791061,-85.779073,929
AL,33.788388,-85.778116,756
AL,33.835535,-87.277305,643
AL,33.843772,-87.286969,483
AL,33.832272,-87.263150,507
AL,33.833759,-87.257836,850
AL,33.833759,-87.257836,467
AL,33.695400,-86.602300,1377
AL,33.695821,-86.597864,952
AL,33.289691,-87.048336,617
AL,33.593800,-86.957500,288
AL,33.754736,-86.990839,550
AL,33.594505,-86.933348,668
AL,33.646431,-86.816807,731
AL,33.444251,-86.954871,336
AL,33.630997,-86.957049,211
AL,33.647420,-86.687624,557
AL,33.643025,-86.661664,818
AL,33.699009,-86.601684,606
AL,33.486204,-87.067539,400
AL,33.761592,-86.967166,492
AL,33.575621,-86.932092,590
AL,33.646407,-86.697372,510
AL,33.658482,-86.699674,685
AL,33.596893,-86.797763,889
AL,33.626892,-86.776732,848
AL,33.647600,-86.818300,700
AL,33.647276,-86.812093,1076
AL,33.305264,-86.981306,752
AL,33.442388,-86.989675,527
AL,33.430701,-87.034282,1200
AL,33.535017,-86.708734,435
AL,33.763000,-86.802400,697
AL,33.428500,-86.924000,221
AL,33.330751,-87.001524,1259
AL,33.543620,-86.933416,384
AL,33.786302,-86.766115,886
AL,33.681291,-86.876446,286
AL,33.446538,-86.992326,601
AL,33.469711,-87.159713,777
AL,33.693058,-86.685170,753
AL,33.703553,-86.669316,1025
AL,33.437810,-86.987026,755
AL,33.490200,-86.972600,524
AL,33.497501,-86.997203,752
AL,33.690860,-86.814571,389
AL,33.542177,-86.667654,1094
AL,33.801023,-86.816128,612
AL,33.653723,-87.073365,111
AL,33.468077,-87.163142,576
AL,33.531718,-86.654116,394
AL,33.747414,-86.697604,646
AL,33.701976,-86.679983,648
AL,33.576558,-86.927173,978
AL,33.779577,-86.804158,669
AL,33.544436,-86.664658,430
AL,33.328033,-87.002845,841
AL,33.801410,-86.941003,437
AL,33.645274,-86.699831,585
AL,33.488132,-86.972784,345
AL,33.651678,-86.651970,707
AL,33.487610,-86.793791,247
AL,33.898649,-88.130201,684
AL,33.753843,-88.112142,277
AL,33.748591,-88.123202,544
AL,33.562379,-88.037315,624
AL,32.856567,-85.197062,260
AL,32.856567,-85.197062,147
AL,32.867400,-85.195900,564
AL,34.857900,-87.494000,729
AL,34.896864,-87.796059,596
AL,34.828233,-87.290232,542
AL,34.967822,-87.374157,379
AL,34.962905,-87.522186,510
AL,34.872427,-87.695412,343
AL,34.918576,-88.064495,337
AL,34.926442,-87.670626,585
AL,34.863595,-87.530031,874
AL,34.896864,-87.796059,713
AL,34.828233,-87.290232,746
AL,34.967822,-87.374157,454
AL,34.962905,-87.522186,592
AL,34.926442,-87.670626,552
AL,34.567535,-87.173240,409
AL,34.562454,-87.417761,424
AL,34.561365,-87.415366,536
AL,34.682020,-87.408102,221
AL,34.475617,-87.298443,586
AL,34.476500,-87.290700,695
AL,34.475594,-87.290467,505
AL,34.446399,-87.482389,117
AL,34.417746,-87.171932,178
AL,34.569833,-87.173162,576
AL,34.566670,-87.173644,408
AL,34.566670,-87.173644,21
AL,32.547300,-85.368000,783
AL,32.713300,-85.188400,696
AL,32.590001,-85.578923,332
AL,32.537233,-85.098991,669
AL,32.531935,-85.094296,785
AL,32.550019,-85.372559,533
AL,32.711135,-85.188072,535
AL,32.589056,-85.579499,277
AL,32.496952,-85.396568,533
AL,32.543053,-85.114880,811
AL,32.521416,-85.080214,1588
AL,32.535084,-85.099770,910
AL,32.597135,-85.223268,574
AL,34.988100,-86.847800,964
AL,34.802171,-87.183527,525
AL,34.782927,-86.833342,1216
AL,34.867796,-86.838919,475
AL,34.943402,-87.116044,631
AL,34.732387,-86.974307,410
AL,34.939600,-87.123800,736
AL,34.790208,-86.797546,550
AL,34.931313,-86.969672,597
AL,34.978252,-86.821052,576
AL,34.798029,-87.153628,558
AL,34.733014,-86.972950,338
AL,34.789985,-86.797056,500
AL,34.925908,-86.990372,599
AL,34.855644,-87.045847,7822
AL,32.302028,-87.786982,77
AL,32.305049,-87.795856,184
AL,32.309528,-87.797488,126
AL,32.058426,-86.551460,186
AL,32.151281,-86.681656,200
AL,32.152554,-86.681471,175
AL,32.285443,-86.720700,114
AL,31.990637,-86.582360,186
AL,32.182873,-86.578561,144
AL,31.984643,-86.571273,104
AL,32.559773,-85.662485,258
AL,32.421300,-85.687200,261
AL,32.402900,-85.906200,111
AL,32.400600,-85.733416,656
AL,32.407393,-85.670017,406
AL,34.934698,-86.570616,963
AL,34.738003,-86.431576,451
AL,34.791524,-86.714928,988
AL,34.539876,-86.401055,534
AL,34.848512,-86.748499,663
