state,state_abbr,nces_school_id,school_name,district_name,county,latitude,longitude,enrollment,start_time,start_time_raw,school_level,inclusion_status
Washington,WA,1823,Nooksack Valley Special Services,Nooksack Valley School District,Whatcom,48.964376,-122.307945,34,,n/a,Other/Mixed,out_of_scope
Washington,WA,5653,North Franklin Virtual Academy,North Franklin School District,Franklin,46.662020,-118.872791,45,,n/a,Other/Mixed,out_of_scope
Washington,WA,5499,CRCC-Open Doors,North Franklin School District,Franklin,46.678834,-118.850506,,,n/a,Other/Mixed,out_of_scope
Washington,WA,5646,North Kitsap Options,North Kitsap School District,Kitsap,47.807354,-122.553342,87,,n/a,Other/Mixed,out_of_scope
Washington,WA,1733,North Kitsap Online Academy & Parent Assisted Learning,North Kitsap School District,Kitsap,47.796486,-122.516373,60,,n/a,Other/Mixed,out_of_scope
Washington,WA,1677,District Programs,North Kitsap School District,Kitsap,,,,,n/a,Other/Mixed,out_of_scope
Washington,WA,1861,North Mason Homelink Program,North Mason School District,Mason,47.416855,-122.841760,74,,n/a,Other/Mixed,out_of_scope
Washington,WA,5513,Mary E. Theler Early Learning Center,North Mason School District,Mason,47.438641,-122.836051,54,,n/a,Other/Mixed,out_of_scope
Washington,WA,5252,Northport Homelink Program,Northport School District,Stevens,48.911347,-117.789133,121,,n/a,Other/Mixed,out_of_scope
Washington,WA,5331,Northshore Online Reengagement Program,Northshore School District,King,47.776953,-122.189873,12,,n/a,Other/Mixed,out_of_scope
Washington,WA,3396,Woodinville Community Center,Northshore School District,King,47.741951,-122.176034,,,n/a,Other/Mixed,out_of_scope
Washington,WA,1815,Northshore Special Services,Northshore School District,King,,,45,,n/a,Other/Mixed,out_of_scope
Washington,WA,5343,iGrad Academy,Oak Harbor School District,Island,48.301385,-122.669301,11,,n/a,Other/Mixed,out_of_scope
Washington,WA,1758,Homeconnection,Oak Harbor School District,Island,48.295839,-122.657125,417,,n/a,Other/Mixed,out_of_scope
Washington,WA,3662,Special Education,Oak Harbor School District,Island,48.295839,-122.657125,139,,n/a,Other/Mixed,out_of_scope
Washington,WA,5584,Oakville Homelink Alternative School,Oakville School District,Grays Harbor,46.841306,-123.240721,22,,n/a,Other/Mixed,out_of_scope
Washington,WA,5708,Ocosta ALE,Ocosta School District,Grays Harbor,,,,,n/a,Other/Mixed,out_of_scope
Washington,WA,3193,Okanogan Co Juvenile Detention,Okanogan School District,Okanogan,48.365816,-119.581737,,,n/a,Other/Mixed,out_of_scope
Washington,WA,5151,Okanogan Outreach Alternative School,Okanogan School District,Okanogan,48.364236,-119.580469,72,,n/a,Other/Mixed,out_of_scope
Washington,WA,5259,Touchstone,Olympia School District,Thurston,47.062265,-122.886664,,,n/a,Other/Mixed,out_of_scope
Washington,WA,5195,Washington Virtual Academy Omak Elementary,Omak School District,Okanogan,48.411020,-119.537820,1368,,n/a,Elementary,out_of_scope
